,uid,app_date,app_method,app_recipient,ct_credit_product,ct_guarantee,credit_purpose,amount_applied_for_flag,action_taken,census_tract_adr_type,gross_annual_revenue_flag,naics_code_flag,number_of_workers,time_in_business_type,business_ownership_status,num_principal_owners_flag,ct_loan_term_flag,denial_reasons,pricing_interest_rate_type,pricing_adj_index_name,num_principal_owners,pricing_mca_addcost_flag,po_1_ethnicity,po_1_race,po_1_gender_flag,po_2_ethnicity,po_2_race,po_2_gender_flag,po_3_ethnicity,po_3_race,po_3_gender_flag,po_4_ethnicity,po_4_race,po_4_gender_flag,ct_credit_product_ff,ct_guarantee_ff,ct_loan_term,credit_purpose_ff,amount_applied_for,amount_approved,action_taken_date,denial_reasons_ff,pricing_init_rate_period,pricing_fixed_rate,pricing_adj_margin,pricing_adj_index_name_ff,pricing_adj_index_value,pricing_origination_charges,pricing_broker_fees,pricing_initial_charges,pricing_mca_addcost,pricing_prepenalty_allowed,pricing_prepenalty_exists,census_tract_number,gross_annual_revenue,naics_code,time_in_business,po_1_ethnicity_ff,po_1_race_anai_ff,po_1_race_asian_ff,po_1_race_baa_ff,po_1_race_pi_ff,po_1_gender_ff,po_2_ethnicity_ff,po_2_race_anai_ff,po_2_race_asian_ff,po_2_race_baa_ff,po_2_race_pi_ff,po_2_gender_ff,po_3_ethnicity_ff,po_3_race_anai_ff,po_3_race_asian_ff,po_3_race_baa_ff,po_3_race_pi_ff,po_3_gender_ff,po_4_ethnicity_ff,po_4_race_anai_ff,po_4_race_asian_ff,po_4_race_baa_ff,po_4_race_pi_ff,po_4_gender_ff
10,382200SEK4O4O81HVG02YZL1MQP6PIDS,"may,31,2024",3,1,1,11;3;9,7,999,5,2,988,988,7,1,2,988,900,999,999,999,,999,,,,,,,,,,,,,this shouldnt be here,,46.0,,,,20241230,,,,,,,,,,,999,999,36101960500.0,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,
11,143500LFMZYJL48ZKW2004WT1LDECBL6FF8UYC6CQY07X,"may,31,2024",3,1,1,8;4;7;3,988,900,5,2,900,988,6,988,955,900,999,999,999,999,1.0,999,12;11;13;14,966,966.0,,,,,,,,,,this shouldnt be here,,,,25259082.0,,20241219,,,,,,,,,,,999,999,54051020601.0,44076160.41,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1666000M9T0JLWXVFE72VQJU8CHVOE,"may,31,2024",3,2,1,6,5,900,2,1,900,900,1,3,966,988,999,999,5,5,,900,,,,,,,,,,,,,this shouldnt be here,,,,29318472.0,21839850.0,20241226,,289.0,,2.364,,,286491.39,386332.4,189932.88,136816.57,1,1,48201412900.0,24083381.9,516.0,,,,,,,,,,,,,,,,,,,,,,,,,
13,9766001E63FYW13GHF11UQK,"may,31,2024",3,1,1,999,3;6,900,4,988,900,988,7,3,2;3,988,900,999,999,999,,999,,,,,,,,,,,,,this shouldnt be here,,74.0,,52952436.0,,20241110,,,,,,,,,,,999,999,,13130572.19,,,,,,,,,,,,,,,,,,,,,,,,,,
14,283900GMV5X1QDNK5B689NZI1HMDOYT,"may,31,2024",3,1,1,8;2,1;9,988,1,1,900,900,7,2,1;955,988,988,999,1,2,,900,,,,,,,,,,,,,this shouldnt be here,,,,,16354513.0,20241118,,,,3.304,,8.415,234535.25,226472.86,184998.77,202224.08,2,2,17031020701.0,37071695.89,611.0,,,,,,,,,,,,,,,,,,,,,,,,,
15,93700074386E3ZCL6K30VYS9CAV1EUC3PR,"may,31,2024",3,1,1,6;4;10;9,977,988,2,2,900,900,1,3,955;2,900,999,999,3,7,4.0,900,966,1;5;41;974;4;42;36;973;24;2;43;972;33,1.0,12;1;14,971;43;23;21;5;24;4;34;2,966.0,13;12;1;977,43,1.0,13;14;2;11,24;973;44;1;22;31;36;2;41;27;21;972;974;971;4;34;26;43;25;35;3;42;32;5,1.0,this shouldnt be here,,,felis volutpat habitant nullam rutrum sodales mi venenatis id nullam cum imperdiet sociis sodales cras imperdiet hendreri,,21946112.0,20241116,,292.0,,4.254,,8.334,105916.11,221432.57,219637.49,156018.47,1,1,34013021803.0,21135836.17,212.0,,,,sapien mollis ac cursus sed ridiculus sociis duis vulputate lorem neque lobortis imperdiet orci ridiculus habitant nulla posuere pellentesque sollicitudin at odio semper tortor magna a nam est sociis ut morbi tristique orci mi ma,erat sed hac natoque congue rhoncus rutrum laoreet iaculis ligu,donec egestas sagittis vulputate ligula porta magnis aliquam aliquam fusce nibh feugiat accumsan nulla sollicitudin egestas morbi ,potenti curabitur condimentum eros elementum tincidunt a curabitur non orci luctus neque fringilla mus venenatis auctor odio maecenas convallis cum quis ornare ac pharetra eget quisque felis pretium pulvinar suscipit mi etiam parturient pharetra pharetra suspendisse mattis eu pretium phasellus,,dis duis facilisi vitae proin hac facilisi congue tincidunt sapien ipsum orci aenean eu non volutpat nam integer mus mollis velit montes pellentesque orci cras euismod eros non aliqu,,,,,commodo vulputate nibh semper nascetur integer cum orci enim mi tempus turpis augue neque integer at adipiscing ante fringilla feugiat fringilla interdum cras lacus curabitur accumsan p,,,,,aliquet eros quisque nullam auctor etiam congue velit ante tempor lorem sagittis lacinia eu senectus suscipit pulvinar sit nisi eu commodo eu leo leo mauris metus feugiat massa vel digni,,blandit mattis cursus imperdiet ante nascetu,potenti tellus turpis parturient erat turpis sed dis mi sit nisi congue turpis praesent feugiat id feugiat natoque hac non facilisis amet turpis mi molestie nisl semper quam nisi at nulla phasellus felis vivamus dolor consequat sit luctus lectus ,convallis vo,donec turpis enim potenti quis quisque a accumsan nunc nam ullamcorper nullam congue duis adipiscing nulla diam molestie purus imperdiet sapien massa tellus lorem donec etiam ligula non sollicitudin habitant posuere in habitant ligula volutpat condimentum d,lorem habitant suscipit mauris mollis sed lacinia tempor ut neque quis metus rutrum adipiscing neque eleifend habitasse rutrum tortor metus nam dis dui gravida eleifend suscipit vel convallis varius nibh tristique egestas senectus facilisi
16,6947008T7Q533XS39Q49VIBLT,"may,31,2024",3,2,1,999,999,900,2,988,900,988,7,3,2,988,900,999,6,999,,999,,,,,,,,,,,,,this shouldnt be here,,68.0,,42960681.0,10604709.0,20241219,,480.0,4.882,,,,320443.9,221620.26,304632.67,,1,1,,10644167.42,,,,,,,,,,,,,,,,,,,,,,,,,,
17,009000MX5KUAXVXAF804GHZENJTTK5LXTGPKILF,"may,31,2024",1,1,1,10;1;3;8,4,988,2,1,900,988,8,1,1,988,999,999,5,9,,900,,,,,,,,,,,,,this shouldnt be here,,,,,33798449.0,20241227,,393.0,,2.805,,,504570.79,225355.33,188559.8,308597.46,2,2,17101881000.0,39680070.14,,25.0,,,,,,,,,,,,,,,,,,,,,,,,
18,236200FI7DR600CIN99658Z64ALLJ42XFR3VN78GKBK,"may,31,2024",4,2,1,8;4,9,900,2,3,900,900,4,3,1,900,988,999,2,999,4.0,900,12;2;1,1;4;24;43;36;973;22;26;971;25;44;33;32;27;3;42;35;2;41;972;974;5;37;21;34;31,988.0,13;14;11,42;33;36;1;22;974;32;44;31;37;25;23;5;27;972,988.0,12;2;13;977;14,34;2;973,966.0,2;977;14;13,988,1.0,this shouldnt be here,,,,22370098.0,26760437.0,20241229,,,7.467,,,,214390.61,161092.12,212045.4,216717.04,2,2,9003476200.0,43821769.93,512.0,,,nulla vitae penatibus malesuada pulvinar dis e,dictumst turpis sodales blandit arcu tincidunt accumsan nisl at ipsum leo euismod praesent rutrum ullamcorper venenatis quam ultrices mollis molestie est,rhoncus facilisis vivamus quis lobortis ligula amet massa placerat convallis et laoreet proin eros sociis auctor viverra tellus lacus tristique vivamus dolor consectetur integer nunc phasellus neque tris,commodo est ante a condimentum urna sollicitudin purus dolor in accumsan porta enim m,,,,nulla diam dolor nisi phasellus iaculis et etiam curabitur semper est a ridiculus at pretium vel eget turpis condimentum dictumst facilisi ultrices mattis sed vel aliquet quis maecenas platea nisi curabitur gravida mollis cursus,,dignissim varius libero facilisis massa nibh platea ac blandit curabi,,lorem viverra augue auctor suspendisse consequat lorem quis eu porta eros praesent viverra rutrum tempor commodo potenti ridiculus vivamus commodo proin ultrices placerat egestas metus ut sodales habitasse eget neque semper ultric,,,ridiculus metus consectetur pulvinar sagittis pulvinar tempor vulputate lorem consectetur placerat ultrices velit cursus cras porta tortor hendrerit euismod volutpat praesent elementum mauris mollis a,,,mattis mollis sodales nec purus libero praesent magna tempus id molestie curabitur fusce varius quis auctor urna sed interdum arcu dolor proin fermentum vivamus maecenas lobortis feugiat orci ni,,,,,egestas aliquet eget fermentum tempor eleifend etiam justo dis id senectus vulputate eget vitae porttitor blandit ut donec fames malesuada auctor amet magnis eget dictumst 
19,380200AKVL3KSP9G7K38VSNEFZQ0A2KD1,"may,31,2024",3,2,1,6;5,11;9,999,2,988,988,988,8,2,3,900,988,999,4,999,2.0,900,13;977;2,26;5;973;33;23;32;41;1,1.0,14;2,22;5;27;4;26;33;972;44;36;43;21;41;971;973;35;37,988.0,,,,,,,this shouldnt be here,,,,,36499954.0,20241217,,626.0,9.02,,,,193840.39,262558.85,372412.47,168237.7,1,2,,,,,sociis congue cras sem sagittis nisi nullam sodales augue lorem adipiscing nisi integer mus eleifend felis adipiscing molestie tincidunt viverra dignissim et sollicitudin pretium leo ,,,habitasse duis risus accumsan non facilisi sed sollicitudin sit hendrerit aliquet porta ultricies eget habitasse blandit integer nunc lacus rhoncus commodo etiam aenean pretium ultrices mus eti,,integer felis rhoncus pharetra habitant accumsan dictum suspendisse nulla ornare vitae pellentesque quam accumsan eros id orci aenean nascetur pulvinar rhoncus part,,platea augue turpis ridiculus lectus pulvinar proin lacinia volutpat posuere pellentesque molestie suscipit erat non placerat porta con,montes tempus euismod integer pretium habitant vivamus neque placerat aenean posuere dis mus auct,condimentum sapien massa faucibus felis vulputate curabitur bibendum suspendisse egestas rutrum euismod dignissim pellentesque porttitor eu curabitur eget pharetra proin senectus fusce augue tortor condimentum proin hen,,,,,,,,,,,,,,
20,1187000N1ZE2U2CW1H43E9FW47BYHO8HUSBEYB,"may,31,2024",4,2,1,11;7,7;11,988,3,3,900,900,9,988,2,900,999,2,999,999,3.0,999,977;14;1;11,3;1;43;22;27;36;2;24;37,966.0,1;13;14,1;25;41;34;36;5;21;33;4;23;24;31;32;22;971;43;973,966.0,,,,,,,this shouldnt be here,,,,,,20241219,,,,,,,,,,,999,999,51570830300.0,39875147.97,213.0,,felis natoque volutpat fermentum orci hac urna mus suspendisse adipiscing vestibulum facilisis lacus pharet,,,,,,,dis pharetra venenatis nullam fames mattis felis pellentesque morbi erat placerat duis vitae hendrerit aenean platea dui bibendum aenean aenean leo urna dictumst natoque vitae cursus quisque mattis penatibus,,dictumst duis feugiat lacinia tincidunt mus bibendum felis at eu adipiscing orci lobortis phasellus risus sodales duis nibh blandit non nunc ligula elementum mollis fame,,,,,,,,,,,,,,
21,737400134TRGIZS7R1829TDXPYSWI03Y86NK5,"may,31,2024",3,2,1,999,999,900,4,3,988,900,7,988,2,988,988,999,999,999,,999,,,,,,,,,,,,,this shouldnt be here,,,,15867290.0,,20241217,,,,,,,,,,,999,999,22071013600.0,,332.0,,,,,,,,,,,,,,,,,,,,,,,,,
22,089400O10J5I9SZCET04Z0M1DBFRSM,"may,31,2024",1,2,1,2;6,2;7,900,1,2,988,988,8,988,3,988,999,999,5,10,,999,,,,,,,,,,,,,this shouldnt be here,,,,36437704.0,30584841.0,20241204,,366.0,,1.124,,,411963.38,100803.23,166540.05,,2,2,36103159407.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,231800V2HDUB3KYQ3C48B6LFJN4,"may,31,2024",2,1,1,8;11;5;4,7;10,900,4,2,988,900,5,2,955;2,988,900,999,999,999,,999,,,,,,,,,,,,,this shouldnt be here,,43.0,,29330201.0,,20241123,,,,,,,,,,,999,999,55121100700.0,,532.0,,,,,,,,,,,,,,,,,,,,,,,,,
24,085900VMUIA1UEHRNG31OAHLFQARG9CRUTVT,"may,31,2024",4,2,1,5;10;977,10,999,5,988,988,900,5,3,2;1,900,900,999,999,999,0.0,999,,,,,,,,,,,,,this shouldnt be here,pharetra ridiculus dignissim maecenas dis phasellus amet ultrices donec sociis laoreet eget sagittis parturient facilisis praesent ma,23.0,,,,20241227,,,,,,,,,,,999,999,,,114.0,,,,,,,,,,,,,,,,,,,,,,,,,
25,079000BZ4S4ZIQ5MHX52KHT6IT5426CH7,"may,31,2024",3,2,1,999,999,999,4,3,988,900,5,2,955,900,900,999,999,999,3.0,999,966,988,1.0,12;11;2;13,32;26;31;974;35;43,1.0,,,,,,,this shouldnt be here,,39.0,,,,20241208,,,,,,,,,,,999,999,1109188600.0,,551.0,,,,,,,gravida aliquet cum consequat facilisi vivamus nibh mauris orci eget urna volutpat rhoncus sem mus consectetur tempus etiam elit dis eleifend mus volutpat ac velit sodales ultri,,,,,interdum hac aliquet suspendisse dignissim eros praesent accumsan id arcu diam eu sodales ultricies malesuada dignissim justo amet pellentesque quis duis massa morbi bibendum cras malesuada aenean sit tempor lacus mus diam sodales ,penatibus mus interdum parturient nullam lacin,,,,,,,,,,,,
26,509300FRQCE9CUVMG399JL3,"may,31,2024",4,2,1,8;7;9;1,10,988,1,2,988,988,1,3,3,900,900,999,1,10,2.0,900,12,37;971;25;27;2;5;41;42;32;1;974;26;973;36;33;35;4;24;44;34;22;21;3;23;43,988.0,966,966,1.0,,,,,,,this shouldnt be here,,87.0,,,40104961.0,20241229,,,,6.304,,8.473,339430.46,174512.23,158357.2,235027.16,1,1,4019004412.0,,,,,magnis turpis potenti varius maecenas fusce auctor sollicitudin sapien magnis eget nulla augue consequat a convallis vitae aliquam cursus hendrerit hendrerit nam ac bibendum quisque lectus mus interdum augue pulvinar volutpat imperdiet faucibus dignissim lobortis mollis,,dolor neque duis arcu orci aenean posuere facil,dui phasellus rhoncus ante ligula ultricies sit convallis a volutpat nec ullamcorper consectetur nascetur justo adipiscing tempus hac laoreet sit magnis consequat felis cum sem blandit fames integer gravida risus eu sodales vivamus urna parturient non natoque integer aliquam aliquet amet morbi v,,,,,,,varius fermentum at pulvinar aliquet mi turpis at sociis ornare vivamus natoque auctor quisque penatibus tincidunt ,,,,,,,,,,,,
27,36030036T4UXUZ7FB936L276S,"may,31,2024",1,2,1,2;3,1;11,988,1,2,900,988,9,988,1,988,900,999,3,1,,900,,,,,,,,,,,,,this shouldnt be here,,70.0,,,18802578.0,20241123,,534.0,,8.411,,2.423,262413.94,470490.14,121025.28,570561.57,2,1,37021003103.0,12875621.08,,,,,,,,,,,,,,,,,,,,,,,,,,
28,081300GFOOCKKPGA20535T8WZIVAJ36CMYT2AKFBTY4BH,"may,31,2024",3,1,1,3;11;5,10;9,900,5,3,988,988,8,2,1,988,999,999,999,999,,999,,,,,,,,,,,,,this shouldnt be here,,,,28811182.0,,20241207,,,,,,,,,,,999,999,48029171602.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,255500T7OIF0B8BAXI796X21XUU65,"may,31,2024",4,1,1,8;2;5;9,1,999,1,1,988,900,7,988,955;3,988,900,999,4,999,,900,,,,,,,,,,,,,this shouldnt be here,,68.0,,,45809208.0,20241123,,467.0,3.284,,,,162886.17,339406.35,246881.62,149631.56,2,2,26163985600.0,,512.0,,,,,,,,,,,,,,,,,,,,,,,,,
30,784700IHN2E6V3EWH494VFXFUTKV489NAR,"may,31,2024",2,2,1,10;9,977,900,1,3,900,988,9,3,988,988,900,999,1,5,,900,,,,,,,,,,,,,this shouldnt be here,,45.0,ac dis scelerisque bibendum justo etiam pharetra sagittis bibendum diam sollicitudin integer mus enim risus massa dictumst auctor nec dictumst sodales imperdiet convallis ultrices vitae consequat vulputate ,34130963.0,21601897.0,20241212,,,,5.091,,11.699,123510.31,413312.36,168451.11,132043.64,2,2,6037599100.0,13652377.02,,,,,,,,,,,,,,,,,,,,,,,,,,
31,982000TL9AUB4DPLG71532ZGB,"may,31,2024",4,2,1,999,11,999,3,988,900,988,988,2,2;1,900,988,4;1,999,999,4.0,999,13;11;12;1,26;43;24;5;37;4;44;41;25;31;35;22;21;3,966.0,966,26;33;34;4;35;974;21;31;37,1.0,11;14;977,27;4;43;44;26;3;1;41;36;972;21;24;5;33;34;971;32;2;35;974;31;22;42;973;25,988.0,977;11,3;32;27;971;5;24;44,1.0,this shouldnt be here,,,,,,20241120,,,,,,,,,,,999,999,,34618778.03,,,,,,,,,,,,,nisl ipsum est enim habitant vivamus nullam ac velit dictum venenatis mus mauris scelerisque fermentum cursus posuere dictum nascetur imperdiet sapien curabitur libero a metus donec odio porta aliquam adipiscing rutrum habitasse maecenas mi hendrerit tempus est sodales non placerat luctus lacus i,praesent molestie elit posuere diam id etiam ul,suscipit pharetra malesuada iaculis mattis volutpat rutrum posuere nam molestie et lobortis risu,iaculis mattis d,malesuada dignissim ullamcorper eleifend varius eu fa,feugiat sit accumsan integer fringilla posuere penatibus leo maecenas netus ultrices nascetur sed faucibus magna mauris dignissim diam platea magna curabitur ridiculus fames velit gravida consequat netus dui adipiscing interdum erat eu aliquet parturient amet pulvinar arcu cras mus tur,montes facilisi cum erat praesent fermentum ridiculus erat sapien ridi,,nam aliquam quisque suscipit varius molestie maecenas justo faucibus tristique ac enim suscipit sapien fringilla ut pulvinar parturient sit cursus,ornare justo dis tristique nullam et quisque condimentum enim at pharetra penatibus ante nisi etiam praesent porta tempus molestie nam non urna ridiculus rhoncus nam ,,,,eu sociis cras rhoncus cras mattis neque dictum tempor augue fringilla justo nisl sociis duis posuere duis ultricies sociis netus vivamus lacus donec vitae tellus scelerisque velit ipsum pretium ultricies duis parturient nec habitant tellus pharetra quisq
32,145200SR491Y97SGCP62K26TLNN8VUI,"may,31,2024",3,1,1,1;977;11,10;2,900,4,1,988,900,8,988,3;955,900,999,999,999,999,3.0,999,12;13;2;14,32;35;23;44;42;34;25;43;22;24;974;5;971;972;41;26;973,988.0,12;14,972;44;37;25;2;43;27;26;973;33;1;41;32;21;34;4;36;22;35;3;31;23;971,966.0,,,,,,,this shouldnt be here,et ipsum pul,,,36272314.0,,20241208,,,,,,,,,,,999,999,36029005500.0,,513.0,,,sociis tincidun,potenti nisl nibh morbi euismod lacinia mi m,aliquet eget,hendrerit erat adipiscing nullam porttitor sodales duis tempus ridiculus neque porta posuere ligula leo imperdiet convallis posuere turpis faucibus metus purus facilisi tempus netus sollicitudin odio lacinia suspendisse gravida bibendum auctor arcu malesuada n,,,aliquet varius porta aliquet vel tincidunt fermentum platea sagittis scelerisque amet nulla netus mi potenti aliquam curabitu,ac phasellus egestas mi lectus mi sollicitudin rutrum condimentum neque habitasse varius auctor magna sociis consequat lacus pellentesque justo ligula lobortis commodo feugiat feugiat urna etiam nibh vel aenean scelerisque pellentesque imperdiet pretium integer montes quisque nunc f,phasellus eu sollicitudin purus et metus varius dictumst magn,,,,,,,,,,,,,,
33,727800FIHREKSWIXHM42J43X4LRE8ITVC47ET7PIU4RL,"may,31,2024",2,2,1,10;8;5,1;4,999,5,988,900,900,4,988,1,988,900,999,999,999,,999,,,,,,,,,,,,,this shouldnt be here,,32.0,,,,20241228,,,,,,,,,,,999,999,,26174700.01,531.0,,,,,,,,,,,,,,,,,,,,,,,,,
34,321500WN6JXAH2SF3D865Y3SG20L3Y08,"may,31,2024",3,1,1,8,5;8,999,3,1,900,988,5,3,988,988,900,7;5;8,999,999,,999,,,,,,,,,,,,,this shouldnt be here,,44.0,,,,20241221,,,,,,,,,,,999,999,47099960502.0,30188080.5,,,,,,,,,,,,,,,,,,,,,,,,,,
